Transaction Date,Post Date,Description,Category,Type,Amount,Memo
06/08/2023,06/08/2023,Payment Thank You-Mobile,,Payment,972.91,
06/06/2023,06/08/2023,CITY OF ENGLEWOOD METE,Travel,Sale,-0.95,
06/07/2023,06/08/2023,99 RANCH MARKET #16,Groceries,Sale,-3.96,
06/06/2023,06/07/2023,PLAYA BOWLS - ENGLEWOOD,Food & Drink,Sale,-25.59,
06/06/2023,06/07/2023,EVERGREEN FINE FRESH FOOD,Food & Drink,Sale,-10.56,
06/05/2023,06/06/2023,SHOPRITE HACKENSACK S1,Groceries,Sale,-18.71,
06/04/2023,06/05/2023,COURSRAVJR5C6L6ORY82I,Education,Sale,-59.00,
06/04/2023,06/05/2023,MCDONALD'S F3630,Food & Drink,Sale,-96.22,
06/02/2023,06/05/2023,ASUHWON,Food & Drink,Sale,-85.64,
06/04/2023,06/04/2023,AMC ONLINE 9640,Entertainment,Sale,-19.18,
06/02/2023,06/04/2023,EVERGREEN FINE FRESH FOOD,Food & Drink,Sale,-11.96,
05/31/2023,06/02/2023,CITY OF ENGLEWOOD METE,Travel,Sale,-0.95,
06/01/2023,06/02/2023,HMHMG EM &amp; HOSPITALIST,Health & Wellness,Sale,-179.45,
06/01/2023,06/02/2023,CKO*Patreon* Membership,Entertainment,Sale,-14.99,
05/31/2023,06/01/2023,SQ *POKE CREW,Food & Drink,Sale,-42.74,
05/28/2023,05/30/2023,BALTHAZAR BAKERY,Food & Drink,Sale,-64.75,
05/28/2023,05/30/2023,STARBUCKS STORE 00846,Food & Drink,Sale,-6.13,
05/29/2023,05/30/2023,STOP &amp; SHOP 0851,Groceries,Sale,-21.39,
05/28/2023,05/29/2023,SQ *ROAST'D COFFEE - FORT,Food & Drink,Sale,-13.97,
05/27/2023,05/28/2023,REDEMPTION CREDIT,Fees & Adjustments,Adjustment,80.62,
05/27/2023,05/28/2023,REDEMPTION CREDIT,Fees & Adjustments,Adjustment,133.34,
05/27/2023,05/28/2023,REDEMPTION CREDIT,Fees & Adjustments,Adjustment,66.38,
05/27/2023,05/28/2023,REDEMPTION CREDIT,Fees & Adjustments,Adjustment,80.39,
05/27/2023,05/28/2023,REDEMPTION CREDIT,Fees & Adjustments,Adjustment,35.37,
05/27/2023,05/28/2023,REDEMPTION CREDIT,Fees & Adjustments,Adjustment,50.42,
05/27/2023,05/28/2023,REDEMPTION CREDIT,Fees & Adjustments,Adjustment,29.23,
05/27/2023,05/28/2023,REDEMPTION CREDIT,Fees & Adjustments,Adjustment,40.52,
05/27/2023,05/28/2023,REDEMPTION CREDIT,Fees & Adjustments,Adjustment,72.19,
05/27/2023,05/28/2023,REDEMPTION CREDIT,Fees & Adjustments,Adjustment,35.87,
05/27/2023,05/28/2023,STOP &amp; SHOP 0851,Groceries,Sale,-5.98,
05/24/2023,05/25/2023,EVERGREEN FINE FRESH FOOD,Food & Drink,Sale,-9.97,
05/23/2023,05/24/2023,ALDI 60060 HACKENSACK,Groceries,Sale,-3.71,
05/23/2023,05/24/2023,FRANCY'S ARTISANAL,Food & Drink,Sale,-38.28,
05/20/2023,05/22/2023,AMANTI VINO,Food & Drink,Sale,-52.23,
05/19/2023,05/21/2023,99 RANCH MARKET #16,Groceries,Sale,-52.15,
05/19/2023,05/21/2023,COSTCO WHSE #1214,Shopping,Sale,-22.57,
05/20/2023,05/21/2023,VITTORIO'S PIZZERIA,Food & Drink,Sale,-102.87,
05/18/2023,05/19/2023,SHOPRITE PARAMUS S1,Groceries,Sale,-20.46,
05/17/2023,05/19/2023,HANNAM MART,Groceries,Sale,-33.89,
05/17/2023,05/18/2023,AMC ONLINE 9640,Entertainment,Sale,-21.02,
05/18/2023,05/18/2023,AMZN Mktp US*NG1474UF3,Shopping,Sale,-14.92,
